web-scraper-order,web-scraper-start-url,professors,professors-href
"1740066207-122","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Fort Robert,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I21261.php"
"1740066207-123","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Lobato Gómez,  Lidia","http://www.urv.cat/html/docencia-per-centre/general-I108353.php"
"1740066207-124","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Penalba Sánchez,  Cristina","http://www.urv.cat/html/docencia-per-centre/general-I77136.php"
"1740066207-125","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/114561/guia_docent","Sagrera Vilaplana,  Vicent","http://www.urv.cat/html/docencia-per-centre/general-I53773.php"
"1740066213-126","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Cima Daudé,  Celia","http://www.urv.cat/html/docencia-per-centre/general-I68871.php"
"1740066213-127","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Garayalde Martin,  Elena","http://www.urv.cat/html/docencia-per-centre/general-I48408.php"
"1740066213-128","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Garcia Miranda,  Joan","http://www.urv.cat/html/docencia-per-centre/general-I68875.php"
"1740066213-129","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Martín Urbano,  Estela","http://www.urv.cat/html/docencia-per-centre/general-I52713.php"
"1740066213-130","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Méndez Higuero,  Josefa","http://www.urv.cat/html/docencia-per-centre/general-I64549.php"
"1740066213-131","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115814/guia_docent","Salom Tejado,  Gerard","http://www.urv.cat/html/docencia-per-centre/general-I53755.php"
"1740066219-132","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Anton Garcia,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I68876.php"
"1740066219-133","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Besora López,  Ester","http://www.urv.cat/html/docencia-per-centre/general-I13219.php"
"1740066219-134","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Cairo Valdivia,  Marcelo","http://www.urv.cat/html/docencia-per-centre/general-I111499.php"
"1740066219-135","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Conde Olano,  Albert","http://www.urv.cat/html/docencia-per-centre/general-I79549.php"
"1740066219-136","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Duran Casanova,  Susana","http://www.urv.cat/html/docencia-per-centre/general-I74752.php"
"1740066219-137","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3489/assignatures/115466/guia_docent","Escobar Juan,  Isabel","http://www.urv.cat/html/docencia-per-centre/general-I111501.php"
