web-scraper-order,web-scraper-start-url,coordinators,coordinators-href
"1740065726-103","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116596/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065734-104","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114913/guia_docent","Expósito Barea,  Maria Isabel","http://www.urv.cat/html/docencia-per-centre/general-I92213.php"
"1740065741-105","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/112513/guia_docent","Gavaldà Martínez,  Josefa","http://www.urv.cat/html/docencia-per-centre/general-I582.php"
"1740065749-106","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116597/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065756-107","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/113730/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065763-108","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/116237/guia_docent","Bargallo Ferrerons,  Amelia","http://www.urv.cat/html/docencia-per-centre/general-I54831.php"
"1740065769-109","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114912/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065777-110","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3456/assignatures/114911/guia_docent","Rosell Ardévol,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I2402.php"
"1740065783-111","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116754/guia_docent","Cáceres Cuello De Oro,  Isabel","http://www.urv.cat/html/docencia-per-centre/general-I2196.php"
"1740065791-112","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116749/guia_docent","Ollé Cañellas,  Andreu","http://www.urv.cat/html/docencia-per-centre/general-I7414.php"
"1740065799-113","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116947/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065808-114","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116786/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065815-115","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116755/guia_docent","Martínez Navarro,  Bienvenido","http://www.urv.cat/html/docencia-per-centre/general-I11958.php"
"1740065822-116","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116762/guia_docent","Vaquero Rodríguez,  Manuel","http://www.urv.cat/html/docencia-per-centre/general-I2296.php"
"1740065829-117","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116763/guia_docent","Gómez Merino,  Gala","http://www.urv.cat/html/docencia-per-centre/general-I49449.php"
"1740065836-118","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116869/guia_docent","Ruisánchez Capelastegui,  María Iciar","http://www.urv.cat/html/docencia-per-centre/general-I2125.php"
"1740065846-119","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116753/guia_docent","Vergès Bosch,  Josep Maria","http://www.urv.cat/html/docencia-per-centre/general-I7415.php"
"1740065856-120","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116761/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065864-121","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116813/guia_docent","Expósito Barea,  Maria Isabel","http://www.urv.cat/html/docencia-per-centre/general-I92213.php"
"1740065872-122","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116814/guia_docent","Gavaldà Martínez,  Josefa","http://www.urv.cat/html/docencia-per-centre/general-I582.php"
"1740065885-123","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116752/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065893-124","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116868/guia_docent","Bargallo Ferrerons,  Amelia","http://www.urv.cat/html/docencia-per-centre/general-I54831.php"
"1740065901-125","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116812/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065908-126","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116867/guia_docent","Rodríguez Álvarez,  José Pedro","http://www.urv.cat/html/docencia-per-centre/general-I2289.php"
"1740065913-127","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116811/guia_docent","Rosell Ardévol,  Jordi","http://www.urv.cat/html/docencia-per-centre/general-I2402.php"
"1740065920-128","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116946/guia_docent","Canals Salomó,  Antoni","http://www.urv.cat/html/docencia-per-centre/general-I6142.php"
"1740065927-129","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116751/guia_docent","López García,  Juan Manuel","http://www.urv.cat/html/docencia-per-centre/general-I13824.php"
"1740065934-130","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116748/guia_docent","Mosquera Martínez,  Marina","http://www.urv.cat/html/docencia-per-centre/general-I592.php"
"1740065941-131","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116866/guia_docent","Vallverdú Poch,  Josep","http://www.urv.cat/html/docencia-per-centre/general-I7417.php"
"1740065950-132","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3546/assignatures/116870/guia_docent","Lorenzo Merino,  Carlos","http://www.urv.cat/html/docencia-per-centre/general-I8903.php"
"1740065956-133","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/117266/guia_docent","Abellán Hernández,  Elisa","http://www.urv.cat/html/docencia-per-centre/general-I9010.php"
"1740065964-134","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/117267/guia_docent","Bertomeu Sancho,  Paula","http://www.urv.cat/html/docencia-per-centre/general-I55890.php"
"1740065964-135","https://guiadocent.urv.cat/guido/public/centres/497/ensenyaments/3550/assignatures/117267/guia_docent","Forns Fernández,  Maria Victòria","http://www.urv.cat/html/docencia-per-centre/general-I7321.php"
